@@,itemlabel,item,startdate,enddate
+++,Józef Użycki,Q11731565,1990-01-01,1990-09-24
+++,Zdzisław Stelmaszuk,Q9389863,1990-09-25,1992-08-04
+++,Tadeusz Wilecki,Q11836768,1992-08-04,1997-03-09
+++,Henryk Szumski,Q7944140,1997-03-10,2000-09-29
+++,Czesław Piątas,Q954789,2000-09-30,2006-01-31
+++,Mieczysław Cieniuch,Q1932093,2006-01-31,2006-02-27
+++,Franciszek Gągor,Q458597,2006-02-27,2010-04-10
+++,Mieczysław Stachowiak,Q11779987,2010-04-10,2010-05-07
+++,Mieczysław Cieniuch,Q1932093,2010-05-07,2013-05-06
+++,Mieczysław Gocuł,Q11779740,2013-05-07,2017-01-31
+++,Leszek Surawski,Q16571706,2017-01-31,2018-07-02
->,Rajmund Andrzejczak,Q9303542,2018-07-03->2018-07-02,
