id,name,relationship,relative,relativename
Q1030376,Witold Sitarz,child,Q77259326,Emilia Sitarz
Q111574804,Sebastian Kęciek,spouse,Q111726938,Izabela Kęciek
Q1166062,Dariusz Rosati,child,Q2789894,Weronika Rosati
Q1166062,Dariusz Rosati,spouse,Q11836904,Teresa Rosati
Q11719272,Jan Tombiński,spouse,Q107466227,Agnieszka Tombińska
Q11727452,Joanna Lichocka,mother,Q9285403,Halina Lichocka
Q11749720,Krzysztof Szczerski,sibling,Q9153706,Andrzej Szczerski
Q11768474,Marek Sowa,sibling,Q11738343,Kazimierz Sowa
Q11769295,Marian Banaś,child,Q77248141,Jakub Banaś
Q11771436,Mateusz Morawiecki,child,Q105627506,Aleksandra Morawiecka
Q11771436,Mateusz Morawiecki,child,Q105627554,Jeremiah Morawiecki
Q11771436,Mateusz Morawiecki,child,Q105627560,Magdalena Morawiecka
Q11771436,Mateusz Morawiecki,child,Q105627563,Ignacy Morawiecki
Q11771436,Mateusz Morawiecki,father,Q548306,Kornel Morawiecki
Q11771436,Mateusz Morawiecki,sibling,Q105627516,Anna Morawiecka
Q11771436,Mateusz Morawiecki,spouse,Q45034900,Iwona Morawiecka
Q11781921,Mirosław Sawicki,spouse,Q19844408,Paula Sawicka
Q11813593,Patryk Jaki,sibling,Q84221392,Filip Jaki
Q11817234,Piotr Adamowicz,sibling,Q2065090,Paweł Adamowicz
Q11817487,Piotr Gliński,sibling,Q323940,Robert Gliński
Q1374797,Władysław Kosiniak-Kamysz,father,Q11685941,Andrzej Kosiniak-Kamysz
Q1392390,Jarosław Wałęsa,father,Q444,Lech Wałęsa
Q1392390,Jarosław Wałęsa,mother,Q468844,Danuta Wałęsa
Q144734,Katarzyna Hall,spouse,Q11719287,Jan Tryba
Q144734,Katarzyna Hall,spouse,Q4714939,Aleksander Hall
Q14918608,Piotr Zientarski,father,Q9154139,Andrzej Zientarski
Q159472,Zbigniew Ziobro,spouse,Q11813573,Patrycja Kotecka
Q1676939,Jacek Protasiewicz,spouse,Q104804955,Patrycja Matusz
Q168205,Grzegorz Braun,father,Q11737731,Kazimierz Braun
Q168205,Grzegorz Braun,sibling,Q30902698,Monika Braun
Q168205,Grzegorz Braun,sibling,Q99192946,Justyna Braun
Q168205,Grzegorz Braun,spouse,Q99188259,Aleksandra Gruziel
Q1683061,Janusz Korwin-Mikke,child,Q107378569,Kacper Korwin Mikke
Q1683061,Janusz Korwin-Mikke,child,Q107750726,Korynna Korwin-Mikke
Q1683061,Janusz Korwin-Mikke,spouse,Q107564268,Dominika Korwin-Mikke
Q174491,Robert Biedroń,partner,Q28123976,Krzysztof Śmiszek
Q19267935,Hanna Gill-Piątek,spouse,Q9359612,Tomasz Piątek
Q19268209,Jerzy Snopek,spouse,Q111726907,Márta Gedeon
Q19991536,Agata Kornhauser-Duda,child,Q28371905,Kinga Duda
Q19991536,Agata Kornhauser-Duda,father,Q6307323,Julian Kornhauser
Q19991536,Agata Kornhauser-Duda,sibling,Q20029414,Jakub Kornhauser
Q19991536,Agata Kornhauser-Duda,spouse,Q9151911,Andrzej Duda
Q20278674,Barbara Nowacka,father,Q11725140,Jerzy‏ Nowacki
Q20278674,Barbara Nowacka,mother,Q260996,Izabela Jaruga-Nowacka
Q20278674,Barbara Nowacka,partner,Q21157896,Adrian Zandberg
Q208929,Longin Pastusiak,relative,Q17362289,Rozalia Ochab
Q208929,Longin Pastusiak,relative,Q545740,Edward Ochab
Q21157896,Adrian Zandberg,partner,Q20278674,Barbara Nowacka
Q21209286,Małgorzata Wassermann,father,Q168190,Zbigniew Wassermann
Q21282015,Małgorzata Chmiel,father,Q16334745,Józef Chmiel
Q21282022,Antoni Duda,sibling,Q20021230,Jan Tadeusz Duda
Q215342,Maria Kaczyńska,child,Q30317108,Marta Kaczyńska
Q215342,Maria Kaczyńska,spouse,Q2757,Lech Kaczyński
Q24051609,Anna Maria Anders,father,Q165544,Władysław Anders
Q24051609,Anna Maria Anders,mother,Q461778,Irena Anders
Q245618,Maciej Płażyński,child,Q73024554,Kacper Płażyński
Q260996,Izabela Jaruga-Nowacka,child,Q20278674,Barbara Nowacka
Q260996,Izabela Jaruga-Nowacka,spouse,Q11725140,Jerzy‏ Nowacki
Q274351,Jolanta Szymanek-Deresz,child,Q79844488,Katarzyna Deresz
Q274351,Jolanta Szymanek-Deresz,father,Q9354925,Tadeusz Szymanek
Q274351,Jolanta Szymanek-Deresz,spouse,Q11814015,Paweł Deresz
Q275644,Katarzyna Piekarska,spouse,Q92750250,Leszek Kwiatek
Q2757,Lech Kaczyński,child,Q30317108,Marta Kaczyńska
Q2757,Lech Kaczyński,father,Q328667,Rajmund Kaczyński
Q2757,Lech Kaczyński,mother,Q3266318,Jadwiga Kaczyńska
Q2757,Lech Kaczyński,sibling,Q55917,Jarosław Kaczyński
Q2757,Lech Kaczyński,spouse,Q215342,Maria Kaczyńska
Q28123976,Krzysztof Śmiszek,partner,Q174491,Robert Biedroń
