position,title
Q1054799,President
Q3259469,Prime Minister
Q15051532,Deputy Prime Minister
Q107919710,Minister of Agriculture and Rural Development
Q107919643,Minister of Climate and Environment
Q28976975,Minister of Culture
Q109587291,Minister of Development Funds and Regional Policy
Q107919830,Minister of Digitization
Q101246734,"Minister of Economic Development, Labour and Technology"
Q11781474,Minister for the European Union
Q11781525,Minister of Finance
Q25598671,Minister of Foreign Affairs
Q57775575,Minister of Health
Q107919732,Minister of Infrastructure
Q108178663,Minister of Infrastructure and Development
Q25598713,Minister of the Interior and Administration
Q28048774,Minister of Justice
Q25919989,Minister of Labour and Social Policy
Q64692688,Minister of National Defence
Q25711733,Minister of National Education
Q25917007,Minister of Regional Development
Q101246696,Minister of Science and Higher Education
Q45119834,Minister of Sports and Tourism
Q107919703,Minister of State Assets
Q97622470,"Minister of Transport, Construction and Marine Economy"
Q93417831,Minister without portfolio
Q107919931,Chief of the Chancellery
Q107919945,Chairman of the Public Benefit Committee
Q100172,Marshal of the Sejm
Q3846811,Marshal of the Senate
Q109587453,Head of the General Staff
Q109587536,Governor of the Narodowy Bank Polski
